Epoch,Loss,Accuracy (%)
1,1998.670606315136,43.797179888904715
2,1538.306063592434,53.32573707449081
3,1389.3141115605831,55.362483976641506
4,1323.9217162132263,56.97194131890044
5,1219.0038625597954,58.908987323743055
6,1143.3962733745575,61.885771257655605
7,1094.760551571846,63.06793904002279
8,1027.576589860022,64.1504059250819
9,998.606491997838,64.22162085173052
10,957.6739325076342,66.67141432844325
11,930.8318470027298,65.44651759008688
12,903.9429918527603,66.99900299102693
13,877.7310571447015,67.29810568295115
14,850.6535133868456,67.24113374163224
15,833.1493890285492,68.09571286141576
16,827.529888689518,68.8648340692209
17,780.5886381268501,69.94730095428001
18,753.9214127510786,70.24640364620424
19,746.6394747402519,70.93006694203105
20,695.8221277929842,72.4967953283008
21,680.6585847213864,73.10924369747899
22,696.6658331006765,71.57100128186869
23,665.4578860383481,73.06651474148981
24,622.0108296833932,75.14599059962968
25,605.2369371978566,75.41660732089446
26,617.7935257498175,74.60475715710014
27,570.4328987682238,76.44210226463467
28,545.9005296621472,77.32516735507762
29,532.166711232625,77.85215781227745
30,531.1088381670415,78.09428856288278
31,508.4467716952786,78.50733513744481
32,490.39209362491965,79.00583962398518
33,497.52344149630517,78.73522290272041
34,484.16431139037013,79.24797037459051
35,428.8875310048461,80.85742771684946
36,421.00775428581983,81.7974647486113
37,440.18173214560375,81.2847172767412
38,405.60233890847303,82.01110952855718
39,420.15360847790726,81.45563310069791
40,394.0751964538358,82.56658595641646
41,373.71564573212527,82.78023073636234
42,376.45179597416427,83.19327731092437
43,367.4075736370869,83.32146417889189
44,372.00183099496644,83.91966956274035
45,335.4247236523079,84.76000569719413
46,338.27430816343985,84.84546360917248
47,366.99357856600545,85.18729525708588
48,329.2565551503794,85.70004272895599
49,290.4503407429438,86.42643498077197
50,291.9973278632315,86.68280871670703
