Epoch,Loss,Accuracy (%)
1,2165.3847649991512,39.253667568722406
2,1781.0742860734463,46.959122632103686
3,1607.9074468016624,50.334710155248544
4,1512.6074887514114,52.513886910696485
5,1422.1039568409324,53.368466030479986
6,1375.393418431282,54.37971798889048
7,1325.6407070755959,54.5648767981769
8,1266.630735963583,55.405212932630675
9,1268.1822309419513,56.35949294972226
10,1188.7464286834002,59.36476285429426
11,1168.130981899798,59.97721122347244
12,1108.0254666805267,61.35878080045577
13,1116.8767199367285,62.099416037601486
14,1066.245550557971,61.17362199116935
15,1076.7874965593219,63.01096709870389
16,1060.7246799319983,63.15339695200114
17,995.3321466371417,63.89403218914684
18,984.7954880297184,65.232872810141
19,987.55836712569,65.01922803019514
20,965.7743105515838,65.87380714997863
21,937.5672962591052,65.80259222333001
22,926.0310807675123,66.50049850448654
23,887.7827582061291,67.58296538954565
24,852.6530854105949,68.8648340692209
25,840.1299047917128,68.40905853866971
26,818.2093170136213,68.83634809856146
27,805.9699501730502,69.63395527702606
28,805.9847983941436,69.07847884916679
29,771.0218331813812,71.48554336989032
30,759.9509470239282,71.21492664862555
31,719.3673447668552,71.67070217917676
32,764.4396653845906,72.38285144566301
33,718.8675105646253,71.9270759151118
34,693.084431707859,72.86711294687368
35,680.6142200734466,73.29440250676542
36,651.9854872599244,74.33414043583535
37,645.2125935927033,74.1917105825381
38,646.1826655045152,75.00356074633243
39,624.5809113495052,75.8438968807862
40,597.2743247412145,76.21421449935907
41,591.5538046844304,76.11451360205099
42,604.82433778218,76.19997151402934
43,571.069157589227,76.9121207805156
44,542.5579883120954,77.78094288562882
45,550.6107629090548,77.38213929639653
46,521.7227346953005,78.00883065090443
47,507.25300576444715,78.86340977068794
48,519.1220049932599,78.74946588805014
49,528.050300244242,78.70673693206096
50,484.204100003466,79.66101694915254
