Epoch,Loss,Accuracy (%)
1,1997.9166107177734,41.64648910411623
2,1605.0593630075455,50.81897165645919
3,1485.865546733141,53.62483976641504
4,1342.0507466495037,56.61586668565731
5,1251.1560960486531,58.652613587808
6,1173.2009233683348,59.97721122347244
7,1068.5341538786888,61.472724683093574
8,1011.115784496069,63.55220054123344
9,907.7181665077806,66.99900299102693
10,850.5918568745255,68.09571286141576
11,763.7517890706658,69.90457199829085
12,721.1298241261393,71.5282723258795
13,643.9993266742676,73.5080472867113
14,589.4470341429114,74.90385984902436
15,538.204905519262,77.56729810568295
16,516.4419500213116,78.57855006409343
17,473.3245231867768,80.61529696624412
18,402.93781592929736,81.76897877795186
19,407.2586421123706,81.66927788064379
20,364.14835449284874,84.13331434268623
21,372.22486515250057,84.21877225466457
22,322.3532960357843,85.41518302236149
23,290.2426995594724,86.4976499074206
24,265.61905567353824,88.46318188292265
25,246.46728007501224,88.73379860418744
26,249.1559152394475,89.16108816407919
27,264.53014526276456,89.16108816407919
28,181.2142103735241,91.78179746474862
29,219.71789321333927,91.0411622276029
30,220.4787099537324,90.96994730095427
31,169.37332728926776,92.43697478991596
32,173.986807527981,92.18060105398092
33,179.34415573579827,92.45121777524568
34,172.84711023169803,93.20609599772112
35,181.6400988338728,92.65061956986185
36,151.4328563746094,93.39125480700756
37,174.43165092156414,94.07491810283436
38,141.68164027483726,94.37402079475858
39,185.50380515484903,93.37701182167783
40,125.88583759980611,94.65888050135308
41,122.22652987554011,94.9579831932773
42,103.97584527848812,95.58467454778523
43,108.65610129547849,95.38527275316906
44,158.05781341170405,94.30280586810996
45,117.59210306038221,95.48497365047714
46,127.020129761607,95.34254379717989
47,128.93234346000463,95.29981484119071
48,96.22703311132136,96.46773963822817
49,107.97170923462545,95.62740350377439
50,122.18521829489737,95.44224469448797
