epoch,mse,mae,rmse
1,7.5228578990156,1.1285066690808119,1.3740071893680912
2,3.5208334909244017,0.8260962720375533,1.0088097170441286
3,2.2432788036989444,0.7132454882849976,0.8899748743408108
4,1.8255872260214705,0.6939304545592626,0.8837629624391922
5,1.9906636420072932,0.7030673161446764,0.8912532413999523
6,1.5822138325734572,0.6641589954963306,0.8441806606118513
7,2.3758510841113147,0.7188354481071886,0.9113264914697476
8,1.3876913729490656,0.6359424646642523,0.8206056372744184
9,1.152483238076622,0.6130387052028776,0.7992752788925531
10,1.491646831008521,0.6030484959128695,0.7815495323429009
11,1.3962050790362286,0.6168310911625936,0.8016327662482294
12,1.3845842584516064,0.6025702540189396,0.7792682085871032
13,1.1308681647660155,0.585033565788015,0.7618615372143172
14,1.1619935095535987,0.5630407992371143,0.7457727821550227
15,0.8873093869875778,0.5207560566013819,0.7022930073496592
16,1.0118475383655592,0.5440181183826345,0.7316246266825036
17,1.0927398525404208,0.5499104733811913,0.7216136376856864
18,0.9609517593952742,0.539438849852042,0.7169041129402248
19,0.9684961351255575,0.5223447221387124,0.7004703746703272
20,1.0281369880293354,0.5448216140326946,0.728105838650262
21,1.0321738690589413,0.5327474213463141,0.7012328908867843
22,1.1527749207435232,0.5450784886144208,0.7221064506051752
23,0.8212544528598135,0.5009452918390225,0.6746064743086778
24,1.0380522963224035,0.47774751877126864,0.6520479704373153
25,1.1285849437117577,0.5053588943635703,0.6789812382970155
26,0.795736365302494,0.4834673606589451,0.6516354277005285
27,1.8396015332052202,0.5649685400877534,0.7353969027372499
28,0.961095306796558,0.5136702545022647,0.6812172204181296
29,0.7892633702493075,0.4714973047730131,0.6411809690400097
30,0.8592722344804894,0.4848336804831856,0.6544683377622635
31,0.7586438469588757,0.4652971816448571,0.6325120919813343
32,0.6781733303584836,0.455294506930942,0.6303427518186601
33,0.8504445621687354,0.4606591496549256,0.6324800498320343
34,0.7162831725383346,0.46258303418145874,0.6352283243808297
35,0.7058178421222803,0.45174465028588595,0.616795901696678
36,0.714328916686954,0.4359428950653657,0.6061763711346206
37,0.7527873759919946,0.46792844575887405,0.6300755821048987
38,0.7140623890992367,0.4287487681313541,0.5956406669461949
39,1.026322417751406,0.43905802231306806,0.602377566608035
40,0.6725622937083244,0.43076535018708567,0.6028861801128012
41,0.6626088970877004,0.42138049945050937,0.5879023705175321
42,0.8235306626355107,0.43849798920719424,0.613642353858427
43,0.6275174875715466,0.44053585400590434,0.6106097601741572
44,0.7841167811191443,0.4371845082483555,0.6009740675797317
45,0.9595308154821396,0.4677091796096453,0.6335096875113617
46,0.6049970214565595,0.42799413482083465,0.5919161103465579
47,0.6486441426430688,0.4300907989777802,0.6001787157630103
48,0.7541805688630451,0.438824735971772,0.603664938119091
49,0.8127963978119872,0.42780673719382534,0.5808965552213017
50,0.5450598440612807,0.40018808178171217,0.566999269675615
