Epoch,Loss,Accuracy (%)
1,1250.0925500541925,55.892535659880906
2,970.4211722910404,63.523057748234315
3,878.444688603282,66.22351474864978
4,807.3736078622751,68.6054563079906
5,761.5676023811102,69.74103309790888
6,723.5334507022053,71.19512532890181
7,685.49024245888,71.70751973410884
8,656.1069593690336,73.18930895997784
9,631.5918941609561,73.9094308267553
10,611.2761378418654,74.86497714997923
11,583.3888303693384,75.77897798088907
12,565.4751783199608,76.81761528874117
13,538.848768286407,77.14997922725384
14,523.4538585208356,77.74546461708904
15,498.46746980864555,78.92258689932142
16,480.32369861006737,79.87813322254536
17,471.0706487093121,79.96122420717352
18,460.8690501488745,80.68134607395098
19,452.8022526400164,81.1383464894059
20,423.2841300480068,82.5231962332087
