Epoch,Loss,Accuracy (%)
1,2858.8688300848007,16.95056086414624
2,2355.1254190802574,31.602271153579835
3,2226.5487728118896,35.67372940036006
4,2204.7646038532257,37.32170059548539
5,2178.043644785881,37.40479158011355
6,2074.8860667943954,36.5877302312699
7,1997.4302418231964,37.70945852375017
8,1967.776627957821,40.17449106771915
9,1932.0844429135323,41.3377648525135
10,1878.3494028449059,44.107464340119094
11,1870.495045363903,41.656280293588146
12,1828.3664538562298,44.07976734524304
13,1816.2340492606163,43.05497853482897
14,1754.798421561718,45.38152610441767
15,1761.376318514347,45.92161750450076
16,1705.7355847358704,44.315191801689515
17,1682.4872289299965,46.018556986566956
18,1653.383335262537,46.10164797119513
19,1621.2747141122818,47.91580113557679
20,1598.9135578274727,47.08489128929511
21,1565.0637626051903,47.70807367400637
22,1543.4880722761154,48.469741033097904
23,1537.1952454149723,48.89904445367678
24,1514.0939891040325,48.857498961362694
25,1490.5963192880154,49.3560448691317
26,1484.7999798953533,49.41143885888381
27,1470.1403397917747,49.106771915247194
28,1445.8110371232033,51.087107048885194
29,1394.3731491565704,52.79047223376264
30,1438.728974223137,51.419470987397865
31,1422.1800943017006,51.10095554632322
32,1394.1096484661102,51.876471402852786
33,1360.7758126854897,52.458108295249964
34,1337.252507686615,53.17823016202742
35,1379.1119432151318,52.444259797811945
36,1371.4865918755531,52.31962332086969
37,1341.42862200737,52.66583575682039
38,1323.792856067419,53.87065503392881
39,1321.0780505239964,52.679684254258405
40,1302.206048309803,54.14762498268938
41,1303.3229540139437,53.78756404930065
42,1293.6648659408092,54.078382495499234
43,1250.4081693291664,55.020080321285135
44,1270.3682210445404,54.32765544938374
45,1273.6935935914516,54.687716382772464
46,1260.8279057890177,55.36629275723583
47,1240.634096056223,55.33859576235979
48,1248.384948194027,54.49383741864008
49,1201.157705500722,55.33859576235979
50,1250.6916402876377,55.39398975211189
