Epoch,Loss,Accuracy (%)
1,2037.3469287455082,45.03531366846697
2,1585.033621788025,52.31962332086969
3,1440.243654757738,55.560171721368235
4,1335.5059750378132,57.98365877302313
5,1277.9243376851082,59.74241794765268
6,1198.1105646789074,59.41005400914001
7,1171.938185825944,60.18556986566958
8,1101.8978805467486,63.75848220468079
9,1055.5466669127345,64.61708904583853
10,977.3883707970381,66.5281816922864
11,959.6579105965793,66.22351474864978
12,945.0152903646231,65.83575682038499
13,911.4821924343705,68.10691040022158
14,883.8301259949803,67.52527350782441
15,830.5474284738302,70.08724553385957
16,821.0345469638705,69.82412408253704
17,785.1775295678526,72.15067165212574
18,772.0635167881846,71.1397313391497
19,723.0816483590752,73.3139454369201
20,712.8035746663809,72.09527766237363
21,664.2455926928669,75.05885611411162
22,669.9789353134111,74.17255227807783
23,631.578734784387,75.55740202188062
24,583.0491020716727,76.01440243733555
25,566.0048166932538,77.03919124774961
26,569.5202233595774,76.62373632460879
27,561.3172640763223,77.95319207865946
28,518.4961381834,79.1580113557679
29,496.02610672824085,79.29649633014819
30,471.266448891256,81.19374047915801
31,448.8584121786989,82.01080182800166
32,451.6860781197902,81.05525550477773
33,467.33664469607174,81.6368923971749
34,390.539754193509,83.7695610026312
35,398.3037850963883,83.39565157180446
36,403.2514464762062,82.82786317684531
37,366.62243977794424,84.18501592577205
38,354.5930174823152,85.5975626644509
39,342.17427022056654,85.69450214651711
40,343.18534924671985,85.95762359783964
41,324.6776705207303,86.24844204403821
42,323.1491248382954,85.80529012602133
43,294.42455625883304,87.0793518903199
44,298.52839232818224,86.99626090569174
45,301.84386322373757,87.93795873147764
46,251.2170155452477,88.50574712643679
47,272.92301737995876,88.09029220329595
48,267.06528539030114,88.97659603932973
49,249.0195615706034,90.30605179338042
50,301.7428194312379,87.82717075197341
